word,synonyms
abarrotero,"['abacero', 'tendero', 'lonjista', 'comerciante', 'vendedor', 'suministrador', 'proveedor', 'negociante']"
abastardar,"['bastardear', 'degenerar']"
abastecer,"['mantener', 'amparar', 'sustentar', 'apoyar', 'nutrir', 'ayudar', 'suministrar', 'surtir', 'sostener']"
abastecimiento,"['logística', 'provisión', 'transporte']"
abasto,"['abastecimiento', 'suministro', 'acopio', 'aprovisionamiento', 'avituallamiento', 'provisión', 'almacenamiento', 'acumulación', 'despensa', 'depósito']"
abastraído,"['ausente', 'distraído', 'ido', 'absorto']"
abatanar,"['batir', 'percutir', 'golpear', 'sacudir', 'tundir', 'martillar']"
abatatar,"['acobardarse', 'atemorizar', 'intimidar', 'amedrentar', 'amilanar', 'acoquinar', 'apabullar', 'apocar', 'arredrar', 'asustar']"
abatido,"['macilento', 'mustio', 'flaco', 'triste', 'demacrado', 'delgado', 'ajado', 'pálido', 'alicaído', 'decaido']"
abatimiento,"['lasitud', 'cansancio', 'flojedad', 'agobio', 'desmayo', 'agotamiento', 'desaliento', 'descorazonamiento', 'fatiga', 'languidez', 'postración']"
abatir,"['rebajar', 'abatir ', 'disminuir', 'descontar', 'deducir', 'humillar ']"
abatirse,"['languidecer', 'desanimarse', 'deprimirse', 'debilitarse', 'desalentarse', 'descorazonarse', 'enflaquecer', 'extenuarse', 'fatigarse', 'flojear', 'cansarse', 'decaer', 'declinar', 'decrecer', 'flaquear', 'disminuir', 'menguar', 'bajar', 'caer', 'descender', 'periclitar', 'agotarse', 'acabar']"
abdicar,"['dimitir', 'renunciar', 'cesar', 'abjurar', 'renegar', 'retractarse']"
abdomen,"['barriga', 'panza', 'tripa', 'vientre', 'estómago', 'mondongo', 'andorga', 'baúl']"
abdominal,"['ventral', 'intestinal', 'estomacal']"
abducción,"['separación', 'alejamiento', 'apartamiento']"
abecedario,"['alfabeto', 'silabario', 'alifato', 'abecé']"
abecé,"['abecedario', 'base', 'principios', 'fundamentos', 'rudimentos', 'basa', 'apoyo', 'cimiento', 'pedestal', 'pie', 'soporte', 'sostén', 'zócalo', 'asiento', 'fondo', 'pata', 'peana']"
abejaruco,['azulejo']
abejero,"['apicultor', 'colmenero']"
abeldar,"['beldar', 'separar', 'aventar', 'limpiar']"
aberración,"['rareza', 'extrañeza', 'anomalía', 'extravagancia', 'singularidad', 'ridiculez', 'irregularidad', 'defecto', 'deformidad']"
aberrante,"['anómalo', 'anormal', 'irregular', 'defectuoso', 'deforme', 'raro', 'insólito']"
aberrar,"['descarriarse', 'desviarse', 'extraviarse', 'equivocarse', 'errar', 'fallar']"
abertura,"['raja', 'hendedura', 'hendidura', 'grieta', 'resquebrajadura', 'rebanada', 'tajada']"
abestiado,"['bravío', 'feroz', 'salvaje', 'fiero', 'bravo', 'cerril', 'indómito', 'cimarrón', 'montaraz', 'indomable', 'inflexible', 'agreste', 'áspero', 'silvestre', 'campestre', 'arisco']"
abetunado,"['bituminoso', 'bituminado', 'oleoso', 'graso']"
abierto,"['vadeable', 'accesible', 'superable', 'franqueable', 'transitable', 'comprensible', 'afable', 'inteligible', 'tratable', 'sencillo', 'vencible']"
abigarrado,"['recargado', 'sobrecargado', 'barroco', 'charro', 'heterogéneo', 'confuso', 'embarullado', 'estrambótico', 'desbordante', 'excesivo', 'pomposo', 'profuso']"
abigarramiento,"['barroquismo', 'pomposidad', 'exageración', 'aglomeración', 'exuberancia', 'profusión']"
abigarrar,"['recargar', 'sobrecargar', 'mezclar']"
abigotado,"['bigotudo', 'mostachudo ', 'enmostachado ']"
abisal,"['abismal', 'profundo', 'hondo', 'insondable']"
abisinio,['etíope']
abismado,"['absorto', 'abstraído', 'ensimismado', 'concentrado', 'meditabundo', 'embebido', 'pasmado', 'pensativo', 'caviloso']"
abismal,"['abisal', 'profundo', 'hondo', 'insondable']"
abismar,"['sumir', 'hundir', 'sumergir']"
abismarse,"['buceador', 'explorar', 'investigar', 'tantear', 'averiguar', 'profundizar']"
abismo,"['precipicio', 'sima', 'talud', 'barranco', 'despeñadero', 'losa', 'barranca', 'torrentera', 'cauce', 'descolgadero ', 'quebrada', 'rambla', 'ramblazo', 'rehoyo', 'atolladero', 'bancal', 'vacío']"
abitaque,"['bita', 'poste', 'amarradero']"
abjuración,"['negación', 'traición']"
abjurar,"['abdicar', 'dimitir', 'renunciar', 'cesar', 'renegar', 'retractarse']"
ablación,"['extirpación', 'separación']"
ablandar,"['reblandecer', 'emblandecer', 'molificar', 'suavizar', 'enternecer']"
ablandarse,"['lentecer', 'reblandecerse ']"
ablución,"['limpieza', 'pulcritud', 'aseo', 'higiene', 'saneamiento', 'desinfección', 'higienización', 'lavado', 'fregado', 'barrido', 'cepillado', 'frotado', 'colada']"
abnegación,"['sacrificio', 'altruismo', 'generosidad', 'desinterés', 'filantropía', 'desprendimiento']"
abnegado,"['favorecedor', 'benefactor', 'bienhechor', 'protector', 'defensor', 'filántropo', 'auxiliador', 'humanitario', 'amparador', 'tutelar', 'caritativo']"
abobado,"['tonto', 'lelo', 'embobado', 'pasmado', 'simple']"
abobar,"['enrudecer', 'embrutecer', 'entontecer', 'atontar', 'alelar']"
abocado,"['emboscado', 'próximo', 'expuesto', 'destinado']"
abocar,"['verter', 'trasvasar', 'echar', 'unirse', 'acercarse', 'aproximar']"
abocetar,"['esbozar', 'bosquejar', 'diseñar', 'trazar', 'delinear', 'proyectar', 'esquematizar', 'planear', 'planificar']"
abochornado,['avergonzado']
abochornar,"['avergonzar', 'soflamar', 'humillar', 'azarar', 'sonrojar', 'ruborizar', 'sofocar', 'azorar']"
abochornarse,"['apenar', 'avergonzarse', 'azorarse']"
abocinado,"['acampanado', 'atrompetado']"
